listing_id,number_of_reviews,first_review,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
872152,10,3/27/14,9/6/15,0.46,100,10,10,10,10,10,10
873073,4,3/31/15,4/20/15,0.43,95,10,10,10,10,10,10
877203,27,3/28/13,12/16/15,0.8,93,9,9,9,9,8,9
879181,31,1/20/13,11/28/15,0.86,95,10,9,10,9,9,9
882274,189,2/4/13,12/14/15,5.32,84,9,8,9,9,9,9
888967,72,3/31/13,12/1/15,2.14,99,10,10,10,10,10,10
890677,55,2/11/13,11/1/15,1.56,98,10,10,10,10,10,10
902243,23,4/3/13,11/1/15,0.69,97,10,10,10,10,10,9
902609,107,3/24/13,10/19/15,3.16,95,10,10,10,10,9,10
904057,125,2/19/13,12/19/15,3.57,97,10,10,10,10,10,10
909102,90,5/27/13,12/1/15,2.83,97,10,10,10,10,10,10
910784,132,7/17/13,12/30/15,4.39,95,10,10,10,10,9,9
911001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921571,7,6/19/13,9/8/15,0.23,91,10,9,10,9,9,10
922986,15,9/15/13,11/14/15,0.53,88,9,9,9,9,10,9
931154,21,12/7/13,11/5/15,0.83,96,9,9,10,10,10,9
931758,24,11/13/13,12/26/15,0.92,92,9,9,10,10,9,9
931785,24,9/17/13,12/15/15,0.86,96,9,10,10,9,10,10
934123,10,9/13/13,10/21/15,0.36,90,9,9,9,10,10,9
934216,20,8/2/13,10/22/15,0.68,88,9,9,10,9,10,9
935432,6,8/23/13,6/3/15,0.21,97,10,10,10,10,10,10
935671,23,1/6/14,12/17/15,0.95,91,9,9,9,9,10,9
935845,37,6/17/13,8/25/14,1.19,95,10,10,10,10,10,10
935862,11,2/11/14,11/23/15,0.48,94,10,9,10,10,10,10
936177,17,10/17/13,11/8/15,0.63,94,9,10,10,10,10,9
936378,3,9/9/13,6/28/15,0.11,93,10,10,10,10,10,10
936484,7,10/5/14,8/10/15,0.46,91,9,9,9,9,10,9
937370,27,12/1/13,12/24/15,1.06,91,9,9,9,9,9,9
938785,13,4/28/14,11/6/15,0.63,86,9,9,8,9,10,9
941467,109,4/28/13,12/29/15,3.33,99,10,10,10,10,10,10
942490,74,3/26/13,9/3/15,2.19,86,9,9,10,9,9,9
944237,9,5/5/13,10/31/15,0.28,93,10,9,9,10,10,10
945645,9,1/25/15,11/9/15,0.78,97,9,9,9,9,10,9
945833,3,6/24/13,8/23/15,0.1,100,10,9,10,10,10,10
948077,77,3/30/13,12/18/15,2.28,100,10,10,10,10,10,10
953595,43,8/19/13,12/29/15,1.48,96,10,10,10,10,10,10
955506,22,3/27/13,12/28/15,0.65,94,10,10,10,10,10,10
958475,99,5/26/13,12/28/15,3.11,97,10,10,10,10,9,10
973859,81,6/20/13,12/27/15,2.62,96,9,10,10,10,9,9
975179,168,3/18/13,1/1/16,4.93,95,10,10,10,10,9,9
977722,64,3/24/13,12/20/15,1.89,94,10,10,10,10,10,10
988176,121,3/14/13,1/3/16,3.53,92,9,9,10,10,10,9
991961,7,4/2/13,12/1/15,0.21,100,10,10,10,10,10,9
995443,17,6/10/13,11/1/15,0.54,96,10,9,10,10,9,9
1000883,18,6/29/13,12/3/15,0.59,99,10,10,10,10,10,10
1002835,6,5/25/14,12/22/15,0.31,80,8,8,7,8,10,8
1003890,72,4/29/13,11/29/15,2.2,93,10,10,10,10,9,9
